# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315166765556097e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315166865792036e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315166964485884e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315167064692020e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315167158946991e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315167260027885e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315167358470917e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315167474836111e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315167574634075e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315167674396992e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315167774158001e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315167873884916e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315167973651886e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315168073415995e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315168173182011e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315168272552013e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315168386676073e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315168486480951e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315168583946943e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315168685461044e+09 1.550999999999999879e-01 2.741999999999999886e+02
1.582315168784630060e+09 1.550999999999999879e-01 2.741999999999999886e+02
1.582315168884592056e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315168984359980e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315169083328009e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315169182521105e+09 1.552999999999999936e-01 2.741999999999999886e+02
1.582315169296479940e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315169396429062e+09 1.552000000000000046e-01 2.741999999999999886e+02
1.582315169495388031e+09 1.552999999999999936e-01 2.741999999999999886e+02
1.582315169595370054e+09 1.552999999999999936e-01 2.741999999999999886e+02
1.582315169695389986e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315169794334888e+09 1.552999999999999936e-01 2.741999999999999886e+02
1.582315169893474102e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315169993361950e+09 1.552999999999999936e-01 2.741999999999999886e+02
1.582315170107316017e+09 1.552999999999999936e-01 2.741999999999999886e+02
1.582315170206449986e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315170306363106e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315170401175022e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315170500951052e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315170600719929e+09 1.554000000000000103e-01 2.741999999999999886e+02
1.582315170704361916e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315170800281048e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315170899981976e+09 1.554000000000000103e-01 2.741999999999999886e+02
